junction_id,latitude,longitude,governorate,ways_count,tier,junction_idx
J_0115,30.0695032,31.3189252,Cairo,3,1,114
J_0116,30.0669562,31.305108,Cairo,3,1,115
J_0117,29.9618375,31.3293305,Cairo,3,1,116
J_0118,29.9723613,31.2705491,Cairo,3,1,117
J_0119,30.05434,31.3463135,Cairo,3,1,118
J_0120,30.0837449,31.3516717,Cairo,3,1,119
J_0121,30.062417,31.3404744,Cairo,3,1,120
J_0122,30.0550076,31.3486599,Cairo,3,1,121
J_0123,30.0453527,31.4001554,Cairo,3,1,122
J_0124,30.0522474,31.3272459,Cairo,3,1,123
J_0125,30.0748786,31.3357492,Cairo,3,1,124
J_0126,30.2252104,31.4572623,Cairo,3,1,125
J_0127,29.9645841,31.2693009,Cairo,3,1,126
J_0128,29.9754791,31.2817851,Cairo,3,1,127
J_0129,30.0791686,31.339792,Cairo,3,1,128
J_0130,30.0534725,31.3386092,Cairo,3,1,129
J_0131,30.0899996,31.3485863,Cairo,3,1,130
J_0132,30.0522447,31.3270871,Cairo,3,1,131
J_0133,30.0436441,31.236164,Cairo,3,1,132
J_0134,30.0603476,31.2471361,Cairo,3,1,133
J_0135,30.0712386,31.2871775,Cairo,3,1,134
J_0136,30.0337584,31.2389674,Cairo,3,1,135
J_0137,30.0206477,31.2456018,Cairo,3,1,136
J_0138,30.022426,31.2440227,Cairo,3,1,137
J_0139,30.0438925,31.2701938,Cairo,3,1,138
J_0140,30.0500534,31.2801792,Cairo,3,1,139
J_0141,30.0164252,31.2610369,Cairo,3,1,140
J_0142,30.1079153,31.3223554,Cairo,3,1,141
J_0143,30.1063608,31.3238109,Cairo,3,1,142
J_0144,30.0941879,31.2560264,Cairo,3,1,143
J_0145,30.065022,31.2450121,Cairo,3,1,144
J_0146,30.0648982,31.2477977,Cairo,3,1,145
J_0147,30.0291581,31.2324253,Cairo,3,1,146
J_0148,30.0571327,31.2985681,Cairo,3,1,147
J_0149,30.0478178,31.254748,Cairo,3,1,148
J_0150,30.0480121,31.254905,Cairo,3,1,149
J_0151,30.050339,31.247104,Cairo,3,1,150
J_0152,30.0720277,31.2475109,Cairo,3,1,151
J_0153,30.0659266,31.2526032,Cairo,3,1,152
J_0154,30.079705,31.2454565,Cairo,3,1,153
J_0155,30.0798794,31.2448571,Cairo,3,1,154
J_0156,30.083863,31.2407169,Cairo,3,1,155
J_0157,30.0829271,31.2441714,Cairo,3,1,156
J_0158,30.0927736,31.2358679,Cairo,3,1,157
J_0159,30.0609079,31.2428423,Cairo,3,1,158
J_0160,30.064563,31.2445998,Cairo,3,1,159
J_0161,30.0624949,31.2610915,Cairo,3,1,160
J_0162,30.1318331,31.3380403,Cairo,3,1,161
J_0163,30.1343476,31.3494733,Cairo,3,1,162
J_0164,30.1292239,31.3464021,Cairo,3,1,163
J_0165,30.1018285,31.3069001,Cairo,3,1,164
J_0166,30.1123043,31.3114828,Cairo,3,1,165
J_0167,30.1020341,31.305914,Cairo,3,1,166
J_0168,30.111187,31.3183169,Cairo,3,1,167
J_0169,30.0618236,31.2477471,Cairo,3,1,168
J_0170,30.0228687,31.2309051,Cairo,3,1,169
J_0171,29.9605132,31.250332,Cairo,3,1,170
J_0172,29.9566679,31.2529986,Cairo,3,1,171
J_0173,29.9565071,31.2527899,Cairo,3,1,172
J_0174,29.9941905,31.2354551,Cairo,3,1,173
J_0175,30.057595,31.2414841,Cairo,3,1,174
J_0176,30.049989,31.2316229,Cairo,3,1,175
J_0177,30.0556206,31.3065478,Cairo,3,1,176
J_0178,30.0469456,31.3075885,Cairo,3,1,177
J_0179,30.0636311,31.2894957,Cairo,3,1,178
J_0180,30.1072627,31.2434176,Cairo,3,1,179
J_0181,30.106764,31.2478218,Cairo,3,1,180
J_0182,30.1049493,31.2447726,Cairo,3,1,181
J_0183,29.8529819,31.3348732,Cairo,3,1,182
J_0184,29.8589027,31.3142337,Cairo,3,1,183
J_0185,29.9578284,31.2306729,Cairo,3,1,184
J_0186,30.0192277,31.264364,Cairo,3,1,185
J_0187,30.0129605,31.2906315,Cairo,3,1,186
J_0188,30.0172449,31.2826266,Cairo,3,1,187
J_0189,30.0213934,31.2637777,Cairo,3,1,188
J_0190,30.0903334,31.3275183,Cairo,3,1,189
